"filename", "language", "TypeScript", "JSON", "HTML", "PostCSS", "JavaScript", "comment", "blank", "total"
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\SceneAction.ts", "TypeScript", 53, 0, 0, 0, 0, 2, 7, 62
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\SceneActionManager.ts", "TypeScript", 267, 0, 0, 0, 0, 43, 38, 348
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\StoryBox.ts", "TypeScript", 156, 0, 0, 0, 0, 6, 25, 187
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\character.ts", "TypeScript", 267, 0, 0, 0, 0, 75, 59, 401
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\interfaces\StoryBoxConfig.ts", "TypeScript", 21, 0, 0, 0, 0, 1, 2, 24
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\utils\CollisionChecker.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\utils\DirectionInput.ts", "TypeScript", 29, 0, 0, 0, 0, 1, 4, 34
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\utils\SceneActionData.ts", "TypeScript", 0, 0, 0, 0, 0, 19, 2, 21
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\utils\grid.ts", "TypeScript", 79, 0, 0, 0, 0, 6, 19, 104
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\utils\utils.ts", "TypeScript", 90, 0, 0, 0, 0, 12, 15, 117
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\index.html", "HTML", 0, 0, 17, 0, 0, 0, 3, 20
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\inky\chapter_1.ink.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\inky\chapter_1.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\inky\inky-test-json.json", "JSON", 0, 18, 0, 0, 0, 0, 0, 18
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\inky\inky_chapter_1_web\chapter_1\chapter_1.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\inky\inky_chapter_1_web\chapter_1\index.html", "HTML", 0, 0, 29, 0, 0, 0, 10, 39
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\inky\inky_chapter_1_web\chapter_1\ink.js", "JavaScript", 0, 0, 0, 0, 1, 1, 1, 3
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\inky\inky_chapter_1_web\chapter_1\main.js", "JavaScript", 0, 0, 0, 0, 284, 70, 86, 440
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\inky\inky_chapter_1_web\chapter_1\style.css", "PostCSS", 0, 0, 0, 235, 0, 25, 47, 307
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\inky\inkytest.json", "JSON", 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\main.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 6, 47
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\scenes\Level.ts", "TypeScript", 29, 0, 0, 0, 0, 22, 26, 77
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\scenes\MainGameScene.ts", "TypeScript", 351, 0, 0, 0, 0, 116, 86, 553
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\scenes\Preload.ts", "TypeScript", 40, 0, 0, 0, 0, 17, 29, 86
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\script-nodes\PreloadBarUpdaterScript.ts", "TypeScript", 16, 0, 0, 0, 0, 11, 17, 44
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1, 2
"Total", "-", 1463, 44, 46, 235, 287, 428, 488, 2991
