"filename", "language", "JSON with Comments", "Markdown", "HTML", "JavaScript", "TypeScript", "Ink", "PostCSS", "JSON", "XML", "comment", "blank", "total"
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\CHANGELOG.md", "Markdown", 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, -2, -5
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\README.md", "Markdown", 0, -18, 0, 0, 0, 0, 0, 0, 0, 0, -12, -30
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\dist\assets\asset-pack.json", "JSON", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\dist\assets\grass_tileset_16.tmx", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -180, 0, -1, -181
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\dist\assets\grass_town_1_16.json", "JSON", 0, 0, 0, 0, 0, 0, 0, -6449, 0, 0, -6, -6455
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\dist\assets\grass_town_1_16.tmx", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -3599, 0, -1, -3600
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\dist\assets\index-DHyIjCu8.js", "JavaScript", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\dist\assets\inkytest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, -25, 0, 0, -1, -26
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\dist\assets\phaser-CmFXOKba.js", "JavaScript", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\dist\assets\preload-asset-pack.json", "JSON", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\dist\assets\story_files\chapter_1.ink.json", "JSON", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\dist\assets\test_castle_1.json", "JSON", 0, 0, 0, 0, 0, 0, 0, -2441, 0, 0, -1, -2442
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\dist\assets\test_castle_1.tmx", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -1403, 0, -1, -1404
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\dist\index.html", "HTML", 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, -2, -19
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\dist\style.css", "PostCSS", 0, 0, 0, 0, 0, 0, -14, 0, 0, 0, -2, -16
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\index.html", "HTML", 0, 0, -16, 0, 0, 0, 0, 0, 0, 0, -2, -18
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\inky\chapter_1.ink", "Ink", 0, 0, 0, 0, 0, -208, 0, 0, 0, -1, -125, -334
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, -35, 0, 0, -1, -36
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\phasereditor2d.config.json", "JSON", 0, 0, 0, 0, 0, 0, 0, -11, 0, 0, 0, -11
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\public\assets\asset-pack.json", "JSON", 0, 0, 0, 0, 0, 0, 0, -23, 0, 0, 0, -23
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\public\assets\grass_tileset_16.tmx", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -180, 0, -1, -181
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\public\assets\grass_town_1_16.json", "JSON", 0, 0, 0, 0, 0, 0, 0, -6449, 0, 0, -6, -6455
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\public\assets\grass_town_1_16.tmx", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -3599, 0, -1, -3600
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\public\assets\inkytest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, -25, 0, 0, -1, -26
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\public\assets\preload-asset-pack.json", "JSON", 0, 0, 0, 0, 0, 0, 0, -201, 0, 0, 0, -201
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\public\assets\story_files\chapter_1.ink.json", "JSON", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\public\assets\test_castle_1.json", "JSON", 0, 0, 0, 0, 0, 0, 0, -2441, 0, 0, -1, -2442
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\public\assets\test_castle_1.tmx", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -1403, 0, -1, -1404
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\public\style.css", "PostCSS", 0, 0, 0, 0, 0, 0, -14, 0, 0, 0, -2, -16
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\tsconfig.json", "JSON with Comments", -27, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, -29
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\types\process.env.ts", "TypeScript", 0, 0, 0, 0, -5, 0, 0, 0, 0, -2, -1, -8
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\vite\config.dev.mjs", "JavaScript", 0, 0, 0, -16, 0, 0, 0, 0, 0, 0, -2, -18
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\vite\config.prod.mjs", "JavaScript", 0, 0, 0, -44, 0, 0, 0, 0, 0, 0, -4, -48
"Total", "-", -27, -21, -33, -62, -5, -208, -28, -18104, -10364, -5, -179, -29036
